episode,actor_loss,critic_loss,entropy
580,0.1901,49.1957,0.8361
581,0.0097,29.733,0.8852
582,0.0721,29.4029,0.8498
583,0.0327,43.7071,0.9941
584,-0.055,62.5061,0.7287
585,0.016,105.5283,0.8308
586,-0.0328,94.1171,0.8008
587,-0.0113,77.826,0.8517
588,-0.2348,71.8395,0.7402
589,0.1015,58.599,0.8354
590,-0.1209,57.4033,0.7744
591,0.0705,46.5231,0.7786
592,-0.0471,118.5398,0.8364
593,-0.2344,92.86,0.7799
594,-0.0583,86.0391,0.8261
595,-0.0553,66.418,0.9145
596,0.0957,67.2233,0.9676
597,-0.0904,139.5856,0.8796
598,-0.0927,121.6072,0.9659
599,-0.153,92.889,0.8259
600,0.0097,90.8797,0.8918
601,0.0468,72.088,0.6769
602,0.003,115.7707,0.7114
603,0.0316,69.5128,0.7796
604,0.0649,40.5669,0.867
605,-0.1499,55.9583,0.6987
606,-0.1613,42.0673,0.6471
607,-0.0562,35.544,0.7942
608,-0.3073,80.5207,0.7322
609,-0.259,56.6675,0.5963
610,0.0185,66.0285,0.7644
611,0.0028,79.8731,0.734
612,0.0585,40.0073,0.7439
613,-0.2981,57.4655,0.7003
614,0.1115,72.1774,0.7948
615,0.0104,90.5358,0.8423
616,0.0916,59.9579,0.801
617,0.0368,64.0056,0.7196
618,-0.1405,62.7831,0.7692
619,0.0558,161.8392,0.6912
620,0.1414,45.1872,0.7766
621,-0.1227,89.7401,0.6439
622,-0.1512,112.0463,0.7373
623,-0.1247,159.9182,0.6804
624,-0.0918,70.0259,0.5929
625,0.0468,208.7266,0.6532
626,0.1401,120.7895,0.6212
627,-0.0813,218.6588,0.6532
628,0.2415,71.5526,0.6968
629,-0.1263,146.9791,0.7164
630,0.09,80.0536,0.8205
631,0.1076,63.1277,0.8663
632,0.0012,92.8738,0.9898
633,-0.0848,52.32,1.0094
634,0.087,53.3873,0.9941
635,0.0154,55.4497,0.9425
636,0.0075,47.0502,0.935
637,0.1066,55.9296,0.8152
638,0.0447,51.1822,0.6704
639,-0.2619,36.4907,0.7461
640,0.008,31.79,0.7475
641,-0.1793,20.7797,0.9402
642,0.016,27.794,0.9475
643,-0.1149,41.8051,0.9138
644,-0.102,43.0458,0.8736
645,-0.0014,28.7521,0.8259
646,0.0338,32.6799,0.7531
647,-0.1567,20.2063,0.8866
648,0.0803,50.2812,0.861
649,-0.0901,21.1626,0.8976
650,-0.1007,32.6137,0.8734
651,-0.0473,36.0685,0.9114
652,0.002,39.0598,0.9155
653,-0.1026,47.6223,0.7612
654,-0.2702,77.7737,0.82
655,-0.051,45.0843,0.7988
656,0.1527,66.4166,0.8671
657,0.0115,51.0115,1.026
658,0.163,51.835,0.8935
659,0.2035,83.4596,0.924
660,-0.1007,42.9879,0.8598
661,-0.131,87.0693,0.8872
662,-0.1238,61.7118,0.8651
663,-0.2286,140.1072,0.9691
664,0.213,116.6605,0.929
665,-0.051,97.7561,0.8793
666,0.0442,123.4035,0.9036
667,-0.0263,84.0196,1.0114
668,0.1178,53.1234,0.9571
669,-0.0801,78.9965,0.8737
670,-0.0071,94.3857,0.8636
671,0.1051,81.7415,0.7584
672,0.1378,66.6463,0.876
673,0.0009,101.5562,0.882
674,-0.0513,60.763,0.832
675,0.0855,126.7957,1.0003
676,-0.0369,45.8399,0.9316
677,-0.085,74.2485,0.9796
678,-0.002,84.3818,0.9849
679,-0.1171,135.5201,0.9967
680,0.1585,56.9339,0.9989
681,-0.0121,55.3084,0.9461
682,0.0939,84.6138,0.9464
683,-0.2264,100.4192,0.6767
684,0.0082,101.2208,0.8384
685,-0.0623,61.2319,0.8536
686,0.1744,50.0756,0.9005
687,-0.0576,102.162,0.6806
688,-0.1685,100.7962,0.9107
689,-0.053,127.407,0.645
690,0.0318,84.1055,0.7137
691,-0.2033,84.2861,0.7658
692,0.1592,97.9732,0.7828
693,-0.0532,72.0767,0.8316
694,-0.3405,228.1317,0.6054
695,-0.0299,114.4224,0.5868
696,0.0992,113.0576,0.6911
697,-0.0296,122.5089,0.6763
698,0.1175,115.2889,0.7583
699,0.0618,84.9575,0.7949
700,-0.0962,113.0124,0.8737
701,-0.0136,63.9559,0.8718
702,-0.1395,115.958,0.786
703,-0.1052,139.5279,1.0153
704,-0.0383,89.734,0.8627
705,-0.1546,123.8511,0.8233
706,-0.2334,98.2044,0.7181
707,0.0615,55.3579,0.7544
708,-0.0261,84.7355,0.6927
709,0.076,61.7352,0.8294
710,0.0876,100.2995,0.6224
711,-0.0029,49.8167,0.7512
712,0.1189,60.3063,0.8722
713,0.189,65.0283,0.8021
714,0.0498,41.419,0.7727
715,-0.1051,122.8655,0.7344
716,0.1028,40.9912,0.7261
717,0.0461,45.5835,0.7744
718,-0.0604,96.8077,0.7477
719,0.1087,143.4388,0.7389
720,0.2637,120.791,0.8278
721,0.1438,72.449,0.8251
722,-0.1757,130.651,0.7852
723,0.0211,159.341,0.7116
724,0.0342,73.155,0.699
725,0.005,103.9586,0.7514
726,0.0549,103.4158,0.6209
727,-0.188,186.6246,0.7073
728,-0.0016,74.7154,0.7567
729,0.0492,48.2847,0.7662
730,-0.1785,40.2871,0.7716
731,-0.1715,65.3938,0.7701
732,0.0076,64.2979,0.7799
733,0.0549,76.9365,0.7391
734,-0.0684,62.2632,0.7838
735,-0.0485,107.6855,0.7581
736,-0.06,178.1896,0.7407
737,-0.2474,51.2653,0.864
738,-0.0596,140.8593,0.9378
739,0.0108,78.9021,0.9434
740,-0.0726,149.6073,0.9747
741,0.0034,75.0483,1.0398
742,0.0865,64.5126,1.0044
743,-0.0394,80.3518,0.8968
744,-0.2657,89.7862,0.6671
745,-0.0198,104.8912,0.9552
746,-0.0134,72.8231,0.822
747,-0.0775,70.6215,0.8019
748,-0.2242,70.9347,0.9302
749,-0.1054,120.6923,0.8965
750,0.0918,92.3432,1.0566
751,-0.1369,185.2898,0.9418
752,-0.0707,151.2637,0.7663
753,0.0303,101.6579,0.8579
754,-0.1851,128.3917,0.8014
755,-0.0123,101.4872,0.798
756,-0.1084,98.965,1.0006
757,-0.0361,129.1633,0.7899
758,0.1039,124.8524,0.7637
759,0.0427,126.276,0.8696
760,-0.0849,87.9657,0.6903
761,0.1413,92.4879,0.7126
762,0.0247,114.372,0.7789
763,-0.0731,107.9798,0.7666
764,0.1152,135.919,0.7318
765,-0.0454,151.1723,0.832
766,-0.0131,62.4094,0.8719
767,-0.2482,124.1878,0.7962
768,0.2382,109.0019,0.6954
769,-0.2174,96.9519,0.7847
770,0.1831,115.8005,0.6528
771,-0.1045,162.1333,0.9057
772,0.088,114.2623,0.8326
773,0.1362,77.3905,0.8442
774,0.1095,77.7693,0.895
775,0.1502,62.6209,0.7658
776,0.1091,94.5664,0.8406
777,-0.0233,57.7631,0.7547
778,0.0181,116.0607,0.7938
779,0.0989,124.5521,0.8906
780,-0.0738,65.7652,0.8338
781,0.0106,79.507,0.8679
782,-0.0272,90.915,0.7804
783,0.0343,85.044,0.8297
784,-0.0398,94.7677,0.7763
785,-0.0242,78.1126,0.8833
786,0.0448,67.2829,0.8949
787,0.143,51.8542,0.8489
788,-0.2109,77.834,0.9272
789,-0.0122,52.3893,0.9447
790,-0.0964,62.3967,0.8441
791,0.118,112.4617,0.875
792,-0.0128,81.3152,0.9527
793,-0.1671,120.9182,0.8592
794,-0.1658,70.1594,0.803
795,0.018,118.2616,0.7192
796,0.0341,147.4689,0.7859
797,0.0126,84.0958,0.7097
798,-0.1117,77.6174,0.7176
799,0.0241,97.9427,0.8382
800,-0.1937,129.0746,0.7679
801,0.0219,208.0273,0.695
802,0.0289,95.117,0.9011
803,0.0044,150.7875,0.6782
804,0.0485,85.8489,0.7885
805,0.1258,92.6007,0.8469
806,0.0319,77.5937,0.7108
807,-0.1202,59.2133,0.7758
808,-0.0229,61.1855,0.8839
